"Year","County","Index.Total","Violent.Total","Murder","Rape","Robbery","Aggravated.Assault","Property.Total","Burglary","Larceny","Motor.Vehicle.Theft","Region","Population"
1990,"Albany",49.2397852547027,5.20470472521618,0.0409819269702061,0.406404109121211,1.53682226138273,3.22049642774203,44.0350805294865,10.8021529172302,30.8081635998525,2.42476401240386,"Non-New York City",292812
1991,"Albany",52.3263289682942,5.66439955334484,0.0439887659459277,0.304537610394884,1.97611071634013,3.33976246066389,46.6619294149494,11.0682502622407,33.0524819815247,2.54119717118397,"Non-New York City",295530
1992,"Albany",54.7264686962174,5.34836804046977,0.0370478894490979,0.323327035192127,1.88944236190399,3.09855075392455,49.3781006557476,11.6195653272171,35.0473034188466,2.71123190968398,"Non-New York City",296913
1993,"Albany",50.7012913942771,5.5895670346158,0.0267924123888115,0.267924123888115,1.865421712571,3.42942878576787,45.1117243596613,10.8341817597256,32.0236309077269,2.25391169220877,"Non-New York City",298592
1994,"Albany",55.698023725946,5.8981822541647,0.0432955219108645,0.339703325762168,2.15145439649373,3.36372900999794,49.7998414717813,11.3267746168346,35.7820836469483,2.69098320799835,"Non-New York City",300262
1995,"Albany",55.7144048711319,5.35824505796981,0.0300275252314622,0.256902160313621,2.14529985820335,2.92601551422137,50.3561598131621,10.6030527983985,36.8004003670031,2.95270664776045,"Non-New York City",299725
1996,"Albany",45.9419510884171,4.72991131416286,0.0369524321418973,0.214995968825585,1.87113679118517,2.60682612201021,41.2120397742542,9.7789572695512,29.0412523515184,2.39183015318463,"Non-New York City",297680
1997,"Albany",49.097360788961,4.89555584816349,0.0337624541252655,0.432159412803398,1.69825144250085,2.73138253873398,44.2018049407975,9.41634845553654,32.6617981207818,2.1236583644792,"Non-New York City",296187
1998,"Albany",46.5372402972582,4.43921829093485,0.0101661487578661,0.349037774020068,1.60964021999546,2.47037414816145,42.0980220063233,9.37657787100513,30.7593774250501,1.96206671026815,"Non-New York City",295097
1999,"Albany",47.9992670313412,3.84469208529583,0.0441138544650007,0.247716259688081,1.47611743786733,2.07674453327542,44.1545749460454,9.65414738099439,32.2675878544379,2.23283971061311,"Non-New York City",294692
2000,"Albany",47.8477669797455,4.59265243498834,0.0407330592903622,0.268159306994885,1.6530833228672,2.63067674583589,43.2551145447571,8.44871538114263,32.6509414428328,2.15545772078167,"Non-New York City",294601
